merchant,public_category,root,mid_level,leaf
De'Longhi,Coffee & Kitchen Appliances,Expense,Shopping,Electronics
Dean & DeLuca,Gourmet Food Market,Expense,Food & Dining,Groceries
dean&david,Salad & Bowls (Germany),Expense,Food & Dining,Restaurants
Death Wish Coffee,Strong Coffee Brand,Expense,Food & Dining,Coffee & Tea
Debenhams,Department Store (UK),Expense,Shopping,General Retail
Debonairs Pizza,Pizza Chain (Africa),Expense,Food & Dining,Fast Food
Decathlon,Sporting Goods (France/Global),Expense,Shopping,Sporting Goods
Deezer,Music Streaming,Expense,Shopping,Books & Media
Del Arte,Italian Restaurant (France),Expense,Food & Dining,Restaurants
Del Frisco's,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Del Taco,Fast Food Mexican,Expense,Food & Dining,Fast Food
Delhaize,Supermarket Chain,Expense,Food & Dining,Groceries
Deliveroo,Food Delivery (UK/EU),Expense,Food & Dining,Food Delivery
Dell,Computer Manufacturer,Expense,Shopping,Electronics
Delta Air Lines,Major Airline,Expense,Travel,Airlines
Delta Sonic,Car Wash & Gas,Expense,Transportation,Car Service & Parts
Demae-can,Food Delivery (Japan),Expense,Food & Dining,Food Delivery
Demel,Viennese Patisserie,Expense,Food & Dining,Bakery & Desserts
denn's Biomarkt,Organic Grocery (Germany),Expense,Food & Dining,Groceries
Denny's,Family Dining Restaurant,Expense,Food & Dining,Restaurants
Denon,Audio & AV Equipment,Expense,Shopping,Electronics
Depop,Fashion Resale (Gen Z),Expense,Shopping,General Retail
Derwent,Art Pencils (UK),Expense,Shopping,Office Supplies
Design Within Reach,Modern Furniture,Expense,Shopping,Home & Garden
Desigual,Fashion Brand (Spain),Expense,Shopping,Clothing & Apparel
Despegar,Travel Booking (Latin Am),Expense,Travel,Hotels & Lodging
Deuter,Backpacks (Germany),Expense,Shopping,Sporting Goods
Deutsche Bank,Bank (Germany),Expense,Financial Services,Banking Fees
Deutsche Telekom,Telecom (Germany),Expense,Housing & Utilities,Utilities
Devoción,Colombian Coffee (NYC),Expense,Food & Dining,Coffee & Tea
Dewey's Pizza,Pizza Chain (Midwest),Expense,Food & Dining,Fast Food
Di Fara Pizza,Legendary Pizza (Brooklyn),Expense,Food & Dining,Restaurants
Dia,Discount Supermarket,Expense,Food & Dining,Groceries
Dice,Music Event Ticketing,Expense,Entertainment,Movies & Events
Dick's Sporting Goods,Sporting Goods Retailer,Expense,Shopping,Sporting Goods
DiDi,Ride-Hailing (China/Global),Expense,Transportation,Rideshare
DiDi Food,Food Delivery (Latin Am),Expense,Food & Dining,Food Delivery
Didriksons,Outdoor Fashion (Sweden),Expense,Shopping,Clothing & Apparel
Diesel,Denim & Fashion (Italy),Expense,Shopping,Clothing & Apparel
Dig,Farm-to-Table Fast Casual,Expense,Food & Dining,Fast Food
Dig Inn,Farm-to-Table Fast Casual,Expense,Food & Dining,Restaurants
DigitalOcean,Cloud Infrastructure,Expense,Technology,Software & SaaS
Dillard's,Department Store,Expense,Shopping,General Retail
Din Tai Fung,Taiwanese Dumpling Restaurant,Expense,Food & Dining,Restaurants
DingTalk,Work Platform (Alibaba),Expense,Technology,Software & SaaS
Dinnerly,Budget Meal Kit,Expense,Food & Dining,Restaurants
Dino,Supermarket Chain,Expense,Food & Dining,Groceries
Dior,Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Dippin' Dots,Novelty Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Diptyque,Luxury Fragrance & Candles,Expense,Health & Wellness,Beauty & Spa
Direct Deposit,Payroll Deposit,Income,Transfers,Deposit
Dirk,Supermarket Chain,Expense,Food & Dining,Groceries
Dis-Chem,Pharmacy (South Africa),Expense,Health & Wellness,Pharmacy
Discogs,Music Marketplace,Expense,Shopping,Books & Media
Discord,Communication Platform,Expense,Technology,Software & SaaS
Discount Tire,Tire Retailer,Expense,Transportation,Car Service & Parts
Discover,Credit Card & Bank,Expense,Financial Services,Banking Fees
Discovery+,Documentary & Reality Streaming,Expense,Entertainment,Streaming Video
Dishoom,Indian Restaurant (UK),Expense,Food & Dining,Restaurants
Disney Store,Character Merchandise,Expense,Kids & Family,Toys & Activities
Disney+,Video Streaming Service,Expense,Entertainment,Streaming Video
Disneyland,Theme Park,Expense,Entertainment,Amusement & Parks
District Vision,Running & Meditation,Expense,Shopping,Sporting Goods
Ditta Artigianale,Specialty Coffee (Florence),Expense,Food & Dining,Coffee & Tea
Dividend Payment,Investment Income,Income,Transfers,Deposit
Divvy,Bike Share (Chicago),Expense,Transportation,Rideshare
Dixy,Supermarket Chain,Expense,Food & Dining,Groceries
DJI,Drone & Camera Manufacturer,Expense,Shopping,Electronics
DJI Osmo,Handheld Stabilizer,Expense,Shopping,Electronics
dm-drogerie markt,Drugstore (Germany),Expense,Health & Wellness,Pharmacy
DMart,Hypermarket Chain,Expense,Food & Dining,Groceries
Do it Best,Hardware Store,Expense,Shopping,Home & Garden
Docker,Container Platform,Expense,Technology,Software & SaaS
Doctor On Demand,Telehealth,Expense,Financial Services,Banking Fees
Doctors Without Borders,Medical Charity,Expense,Donations & Gifts,Charity & Donations
Dogtopia,Dog Daycare Chain,Expense,Shopping,Pet Supplies
Dolce & Gabbana,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Dollar General,Discount Variety Store,Expense,Shopping,General Retail
Dollar Rent A Car,Car Rental,Expense,Travel,Hotels & Lodging
Dollar Shave Club,Men's Grooming Subscription,Expense,Health & Wellness,Beauty & Spa
Dollar Tree,Dollar Store Chain,Expense,Shopping,General Retail
Dollywood,Theme Park,Expense,Entertainment,Amusement & Parks
Dominion Energy,Electric Utility,Expense,Housing & Utilities,Utilities
Dominique Ansel Bakery,Pastry (NYC),Expense,Food & Dining,Bakery & Desserts
Domino's,Pizza Delivery & Carryout,Expense,Food & Dining,Fast Food
Domino's Australia,Pizza Delivery (Australia),Expense,Food & Dining,Restaurants
Domino's India,Pizza (India),Expense,Food & Dining,Restaurants
Domino's UK,Pizza Delivery (UK),Expense,Food & Dining,Restaurants
Don Quijote,Discount Store Chain,Expense,Food & Dining,Groceries
Donato's Pizza,Pizza (Ohio),Expense,Food & Dining,Fast Food
Donatos,Pizza Chain,Expense,Food & Dining,Restaurants
Donatos Pizza,Pizza Chain,Expense,Food & Dining,Fast Food
DonorsChoose,Education Fundraising,Expense,Donations & Gifts,Charity & Donations
DoorDash,Food Delivery Platform,Expense,Food & Dining,Food Delivery
DoorDash DashPass,Delivery Subscription,Expense,Food & Dining,Restaurants
Dorchester Collection,Luxury Hotel,Expense,Travel,Hotels & Lodging
Dormy Inn,Business Hotel (Japan),Expense,Travel,Hotels & Lodging
Dorney Park,Amusement Park,Expense,Entertainment,Amusement & Parks
Dorothy Lane Market,Specialty Market,Expense,Food & Dining,Groceries
Dott,Scooter Share (EU),Expense,Transportation,Rideshare
DoubleTree,Full-Service Hotel,Expense,Travel,Hotels & Lodging
Doughnut Plant,Artisan Doughnut Shop,Expense,Food & Dining,Bakery & Desserts
Doutor Coffee,Coffee Chain (Japan),Expense,Food & Dining,Coffee & Tea
Dr. Jart+,K-Beauty Skincare,Expense,Health & Wellness,Beauty & Spa
Dr. Martens,Boots & Footwear (UK),Expense,Shopping,Clothing & Apparel
Dreamworld,Theme Park (Australia),Expense,Entertainment,Amusement & Parks
Driftaway Coffee,Subscription Coffee,Expense,Food & Dining,Coffee & Tea
Driven Brands Car Wash,Car Wash,Expense,Transportation,Car Service & Parts
Drogasil,Pharmacy (Brazil),Expense,Health & Wellness,Pharmacy
Drop,Keyboards & Audio,Expense,Shopping,Electronics
Drop Coffee,Specialty Coffee (Stockholm),Expense,Food & Dining,Coffee & Tea
Dropbox,Cloud Storage & Collaboration,Expense,Technology,Software & SaaS
Drunk Elephant,Premium Skincare,Expense,Health & Wellness,Beauty & Spa
Drybar,Blowout Bar,Expense,Health & Wellness,Beauty & Spa
DSW,Footwear Retailer,Expense,Shopping,Clothing & Apparel
Du Pain et des Idées,French Bakery,Expense,Food & Dining,Bakery & Desserts
Duck Donuts,Made-to-Order Doughnut Shop,Expense,Food & Dining,Bakery & Desserts
Ducky,Mechanical Keyboards,Expense,Shopping,Electronics
Duke Energy,Electric Utility,Expense,Housing & Utilities,Utilities
Dunelm,Home Textiles & Furnishings (UK),Expense,Shopping,Home & Garden
Dunkin',Coffee & Donut Chain,Expense,Food & Dining,Coffee & Tea
Dunzo,Multi-Category Delivery (India),Expense,Food & Dining,Food Delivery
Duolingo,Language Learning App,Expense,Education,Online Learning
Duolingo Plus,Language Learning,Expense,Education,Online Learning
Dusty Knuckle,Bakery (London),Expense,Food & Dining,Bakery & Desserts
Dutch Bros,Drive-Through Coffee,Expense,Food & Dining,Coffee & Tea
DXRacer,Gaming Chairs,Expense,Entertainment,Gaming
Dyper,Sustainable Diapers,Expense,Kids & Family,Toys & Activities
Dyson,Premium Home Appliances,Expense,Shopping,Electronics
Dyson V15,Cordless Vacuum,Expense,Housing & Utilities,Home Services
E*TRADE,Online Brokerage,Expense,Financial Services,Banking Fees
E-Mart,Hypermarket Chain,Expense,Food & Dining,Groceries
E-ZPass,Electronic Toll Collection,Expense,Transportation,Public Transit
e.l.f. Cosmetics,Budget Cosmetics,Expense,Health & Wellness,Beauty & Spa
E5 Bakehouse,Organic Bakery (London),Expense,Food & Dining,Bakery & Desserts
EA Play,Game Subscription,Expense,Entertainment,Gaming
Earl's Kitchen,Casual Dining (Canada),Expense,Food & Dining,Restaurants
Earnin,Earned Wage Access,Expense,Financial Services,Banking Fees
Earth Fare,Organic Grocery,Expense,Food & Dining,Groceries
Earth's Best,Organic Baby Food,Expense,Kids & Family,Toys & Activities
Easton Sports,Baseball & Hockey Equipment,Expense,Shopping,Sporting Goods
EasyCard,Taiwan Transit,Expense,Transportation,Public Transit
easyJet,Low-Cost Airline (UK),Expense,Travel,Airlines
Eat Clean Bro,Prepared Meals (NJ),Expense,Food & Dining,Restaurants
Eataly,Italian Food Market,Expense,Food & Dining,Groceries
Eataly Bakery,Italian Market Bakery,Expense,Food & Dining,Bakery & Desserts
EB Games,Video Game Retailer (AU/CA),Expense,Entertainment,Gaming
eBay,Online Auction & Marketplace,Expense,Shopping,General Retail
Echelon,Connected Fitness Bike,Expense,Entertainment,Sports & Recreation
ecobee,Smart Thermostat,Expense,Shopping,Electronics
Ecobee,Smart Thermostat,Expense,Housing & Utilities,Home Services
Econo Lodge,Budget Hotel,Expense,Travel,Hotels & Lodging
Ecovacs Deebot,Robot Vacuum,Expense,Housing & Utilities,Home Services
Eddie Bauer,Outdoor & Casual Apparel,Expense,Shopping,Clothing & Apparel
Eddie V's,Upscale Seafood,Expense,Food & Dining,Restaurants
EDEKA,Supermarket Chain,Expense,Food & Dining,Groceries
Edgars,Fashion (South Africa),Expense,Shopping,Clothing & Apparel
Edion,Electronics (Japan),Expense,Shopping,Electronics
Edition Hotels,Luxury Boutique,Expense,Travel,Hotels & Lodging
Ediya Coffee,Coffee Chain (Korea),Expense,Food & Dining,Coffee & Tea
Edward Jones,Investment Advisory,Expense,Financial Services,Banking Fees
edX,Online Learning (University),Expense,Education,Online Learning
EE,Mobile Operator (UK),Expense,Housing & Utilities,Utilities
Eero,Mesh WiFi System (Amazon),Expense,Shopping,Electronics
EF Education First,Language & Travel Education,Expense,Education,Online Learning
EFF,Digital Rights,Expense,Donations & Gifts,Charity & Donations
Efteling,Theme Park (Netherlands),Expense,Entertainment,Amusement & Parks
Eggs Up Grill,Breakfast & Brunch,Expense,Food & Dining,Restaurants
EgyptAir,Airline (Egypt),Expense,Travel,Airlines
Eight Sleep,Smart Mattress & Sleep Tech,Expense,Health & Wellness,Health Products
Einstein Bros Bagels,Bagel Chain,Expense,Food & Dining,Bakery & Desserts
El Celler de Can Roca,Fine Dining (Spain),Expense,Food & Dining,Restaurants
El Corte Inglés,Department Store & Supermarket,Expense,Food & Dining,Groceries
El Fogoncito,Mexican Restaurant,Expense,Food & Dining,Restaurants
El Pollo Loco,Fast Food Grilled Chicken,Expense,Food & Dining,Fast Food
El Portón,Mexican Restaurant,Expense,Food & Dining,Restaurants
El Super,Hispanic Supermarket,Expense,Food & Dining,Groceries
El Torito,Mexican Restaurant,Expense,Food & Dining,Restaurants
Eland,Fashion Group (Korea),Expense,Shopping,Clothing & Apparel
Ele.me,Food Delivery (China),Expense,Food & Dining,Food Delivery
Electronic Arts,Game Publisher,Expense,Entertainment,Gaming
Electronic Frontier Foundation,Digital Rights,Expense,Donations & Gifts,Charity & Donations
Elegoo,3D Printers & Electronics,Expense,Shopping,Electronics
Element Hotels,Eco-Friendly Extended Stay,Expense,Travel,Hotels & Lodging
Elements Massage,Therapeutic Massage,Expense,Health & Wellness,Beauty & Spa
Elevation Burger,Fast Casual Burger,Expense,Food & Dining,Fast Food
Eleven Madison Park,Fine Dining (NYC),Expense,Food & Dining,Restaurants
Elgato,Streaming Equipment,Expense,Shopping,Electronics
Elkjøp,Electronics (Scandinavia),Expense,Shopping,Electronics
Embassy Suites,All-Suite Hotel,Expense,Travel,Hotels & Lodging
Emirates,Major Airline (UAE),Expense,Travel,Airlines
Emmy Squared,Detroit-Style Pizza (NYC),Expense,Food & Dining,Restaurants
Eneos,Gas Station (Japan),Expense,Transportation,Gas & Fuel
Engen,Gas Station (South Africa),Expense,Transportation,Gas & Fuel
Engineering For Kids,STEM Education,Expense,Education,Online Learning
Eni,Gas Station (Italy),Expense,Transportation,Gas & Fuel
ENOC,Gas Station (UAE),Expense,Transportation,Gas & Fuel
Entergy,Electric Utility,Expense,Housing & Utilities,Utilities
Enterprise,Car Rental,Expense,Transportation,Rideshare
Enterprise Rent-A-Car,Car Rental,Expense,Travel,Hotels & Lodging
Epic Games,Game Developer & Store,Expense,Entertainment,Gaming
Epic Games Store,PC Game Platform,Expense,Entertainment,Gaming
Epson,Printers & Projectors,Expense,Shopping,Electronics
Equator Coffees,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Equinox,Premium Gym & Fitness,Expense,Entertainment,Sports & Recreation
Erbert & Gerbert's,Fast Casual Sandwich,Expense,Food & Dining,Fast Food
Erewhon,Organic Luxury Grocery (LA),Expense,Food & Dining,Groceries
Ergobaby,Baby Carrier,Expense,Kids & Family,Toys & Activities
Eric Kayser,French Artisan Bakery,Expense,Food & Dining,Bakery & Desserts
Erie Insurance,Insurance,Expense,Housing & Utilities,Utilities
Eroski,Cooperative Supermarket,Expense,Food & Dining,Groceries
ESET,Cybersecurity (Slovakia),Expense,Technology,Software & SaaS
ESPN+,Sports Streaming,Expense,Entertainment,Streaming Video
Espresso House,Coffee Chain (Scandinavia),Expense,Food & Dining,Coffee & Tea
Esprit,Fashion Brand (Germany),Expense,Shopping,Clothing & Apparel
Ess-a-Bagel,Bagel Shop (NYC),Expense,Food & Dining,Bakery & Desserts
Esselunga,Supermarket Chain,Expense,Food & Dining,Groceries
Essential Utilities,Water & Gas,Expense,Housing & Utilities,Utilities
Essentials,Accessible Streetwear (FOG),Expense,Shopping,Clothing & Apparel
Esso,Gas Station (UK/EU),Expense,Transportation,Gas & Fuel
Estée Lauder,Prestige Beauty,Expense,Health & Wellness,Beauty & Spa
Ethan Allen,Furniture Retailer,Expense,Shopping,Home & Garden
Ethiopian Airlines,Major Airline (Africa),Expense,Travel,Airlines
Etihad Airways,Major Airline (UAE),Expense,Travel,Airlines
Etro,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Etsy,Handmade & Vintage Marketplace,Expense,Shopping,General Retail
Eureka!,Tents & Camping,Expense,Shopping,Sporting Goods
Euromaster,Tire & Auto Service (EU),Expense,Transportation,Car Service & Parts
Euronics,Electronics Retailer (EU),Expense,Shopping,Electronics
Europa-Park,Theme Park (Germany),Expense,Entertainment,Amusement & Parks
Europcar,Car Rental (EU),Expense,Travel,Hotels & Lodging
European Wax Center,Waxing Salon,Expense,Health & Wellness,Beauty & Spa
Eurospin,Discount Supermarket,Expense,Food & Dining,Groceries
Even Hotels,Wellness Hotel,Expense,Travel,Hotels & Lodging
Event Cinemas,Movie Theater (AU/NZ),Expense,Entertainment,Movies & Events
Eventbrite,Event Ticketing Platform,Expense,Entertainment,Movies & Events
Everland,Theme Park (Korea),Expense,Entertainment,Amusement & Parks
Everlane,Transparent Fashion DTC,Expense,Shopping,Clothing & Apparel
Evernote,Note-Taking App,Expense,Technology,Software & SaaS
Eversource Energy,Electric Utility,Expense,Housing & Utilities,Utilities
EveryPlate,Budget Meal Kit,Expense,Food & Dining,Restaurants
Evolv,Climbing Shoes,Expense,Shopping,Sporting Goods
Evolve Vacation Rental,Vacation Rental,Expense,Travel,Hotels & Lodging
Excalidraw,Whiteboard Tool,Expense,Technology,Software & SaaS
Exelon,Electric Utility,Expense,Housing & Utilities,Utilities
Exhale Spa,Spa & Fitness,Expense,Health & Wellness,Beauty & Spa
ExOfficio,Travel Apparel,Expense,Shopping,Sporting Goods
Expedia,Online Travel Agency,Expense,Travel,Hotels & Lodging
Expert,Electronics Retailer (EU),Expense,Shopping,Electronics
Express,Fashion Apparel,Expense,Shopping,Clothing & Apparel
Express Oil Change,Oil Change,Expense,Transportation,Car Service & Parts
Express Scripts,Pharmacy Benefit Manager,Expense,Health & Wellness,Pharmacy
ExpressVPN,Virtual Private Network,Expense,Technology,Software & SaaS
Extra Hipermercados,Hypermarket,Expense,Food & Dining,Groceries
ExxonMobil,Gas Station,Expense,Transportation,Gas & Fuel
EyeBuyDirect,Online Eyeglasses,Expense,Health & Wellness,Health Products
F45 Training,Group Fitness,Expense,Entertainment,Sports & Recreation
Faasos,Indian Wraps Delivery,Expense,Food & Dining,Restaurants
Faber-Castell,Art & Writing (Germany),Expense,Shopping,Office Supplies
FabHotels,Budget Hotel (India),Expense,Travel,Hotels & Lodging
Fabindia,Indian Ethnic Fashion,Expense,Shopping,Clothing & Apparel
Fabletics,Athletic Apparel (DTC),Expense,Shopping,Clothing & Apparel
Factor,Prepared Meal Delivery,Expense,Food & Dining,Restaurants
Fairfield Inn,Economy Hotel,Expense,Travel,Hotels & Lodging
Fairmount Bagel,Montreal Bagel Shop,Expense,Food & Dining,Bakery & Desserts
FairPrice,Supermarket Chain,Expense,Food & Dining,Groceries
Fairway Market,Specialty Supermarket,Expense,Food & Dining,Groceries
Falabella,Department Store (Chile),Expense,Shopping,General Retail
Family Dollar,Discount Variety Store,Expense,Shopping,General Retail
FamilyMart,Convenience Store Chain,Expense,Food & Dining,Groceries
Famous Footwear,Footwear Retailer,Expense,Shopping,Clothing & Apparel
Fannie May,Chocolate & Candy,Expense,Food & Dining,Snacks & Drinks
Fantastic Sams,Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Fantuan,Food Delivery (Chinese diaspora),Expense,Food & Dining,Food Delivery
Fareway Stores,Supermarket,Expense,Food & Dining,Groceries
Farm Boy,Specialty Grocery (Ontario),Expense,Food & Dining,Groceries
Farm to Feet,American Wool Socks,Expense,Shopping,Sporting Goods
Farmacity,Pharmacy Chain (Argentina),Expense,Health & Wellness,Pharmacy
Farmer's Dog,Fresh Dog Food Delivery,Expense,Shopping,Pet Supplies
Farmers Insurance,Insurance,Expense,Housing & Utilities,Utilities
Fashion Nova,Online Fast Fashion,Expense,Shopping,Clothing & Apparel
Fastly,CDN & Edge Computing,Expense,Technology,Software & SaaS
FasTrak,California Toll,Expense,Transportation,Public Transit
Fat Brain Toys,Educational Toys,Expense,Kids & Family,Toys & Activities
Fatburger,Fast Casual Burger,Expense,Food & Dining,Fast Food
Father Carpenter,Specialty Coffee (Berlin),Expense,Food & Dining,Coffee & Tea
Fauchon,French Luxury Patisserie,Expense,Food & Dining,Bakery & Desserts
Fear of God,Luxury Streetwear,Expense,Shopping,Clothing & Apparel
FedEx Office,Printing & Shipping,Expense,Shopping,Office Supplies
Feeding America,Food Bank Network,Expense,Donations & Gifts,Charity & Donations
Feishu,Collaboration (China),Expense,Technology,Software & SaaS
Fender Play,Online Guitar Lessons,Expense,Education,Online Learning
Fendi,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Fenty Beauty,Inclusive Cosmetics Brand,Expense,Health & Wellness,Beauty & Spa
Ferrari World,Theme Park (UAE),Expense,Entertainment,Amusement & Parks
Ferrero Rocher,Chocolate & Confectionery,Expense,Food & Dining,Snacks & Drinks
Festival Foods,Supermarket,Expense,Food & Dining,Groceries
Fidelity,Investment & Brokerage,Expense,Financial Services,Banking Fees
Fidelity Investments,Brokerage & Mutual Funds,Expense,Financial Services,Banking Fees
Fiesta Mart,Hispanic Supermarket,Expense,Food & Dining,Groceries
FigJam,Whiteboard (Figma),Expense,Technology,Software & SaaS
Figma,UI Design Tool,Expense,Technology,Software & SaaS
Figo Pet Insurance,Pet Insurance,Expense,Shopping,Pet Supplies
Filling Pieces,Luxury Sneakers (NL),Expense,Shopping,Clothing & Apparel
Final Cut Pro,Video Editing (Apple),Expense,Technology,Software & SaaS
Final Draft,Screenwriting Software,Expense,Technology,Software & SaaS
Finish Line,Athletic Footwear,Expense,Shopping,Clothing & Apparel
Finnair,Airline (Finland),Expense,Travel,Airlines
Fire TV,Smart TV (Amazon),Expense,Shopping,Electronics
Firehouse Subs,Fast Casual Sub,Expense,Food & Dining,Fast Food
Firestone Complete,Tire & Auto Service,Expense,Transportation,Car Service & Parts
Firmdale Hotels,Boutique Hotels (London),Expense,Travel,Hotels & Lodging
First Cabin,Capsule Hotel (Japan),Expense,Travel,Hotels & Lodging
First Kitchen,Fast Food (Japan),Expense,Food & Dining,Fast Food
First Watch,Breakfast & Brunch Restaurant,Expense,Food & Dining,Restaurants
Fishaways,Fish & Chips (South Africa),Expense,Food & Dining,Restaurants
Fisher-Price,Infant/Toddler Toys,Expense,Kids & Family,Toys & Activities
Fitbit,Fitness Tracker,Expense,Shopping,Clothing & Apparel
Fitbit Premium,Fitness Subscription,Expense,Entertainment,Sports & Recreation
Fitness First,Gym Chain (Global),Expense,Entertainment,Sports & Recreation
Fitness First AU,Gym (Australia),Expense,Entertainment,Sports & Recreation
Fitness Park,Gym Chain (France),Expense,Entertainment,Sports & Recreation
Five Below,Discount Retailer,Expense,Shopping,General Retail
Five Elephant,Specialty Coffee (Berlin),Expense,Food & Dining,Coffee & Tea
Five Guys,Fast Casual Burger,Expense,Food & Dining,Fast Food
Five Guys UK,Burger Restaurant,Expense,Food & Dining,Restaurants
Five Ten,Climbing Shoes (Adidas),Expense,Shopping,Sporting Goods
FJ Benjamin,Fashion Retail (Singapore),Expense,Shopping,Clothing & Apparel
Fjällräven,Swedish Outdoor Brand,Expense,Shopping,Clothing & Apparel
Flash Coffee,Coffee Chain (Asia),Expense,Food & Dining,Coffee & Tea
Flash Foods,Gas & Convenience,Expense,Transportation,Gas & Fuel
Fleming's Steakhouse,Fine Dining Steakhouse,Expense,Food & Dining,Restaurants
Flight Coffee,Specialty Coffee (NZ),Expense,Food & Dining,Coffee & Tea
Flink,Instant Grocery Delivery,Expense,Food & Dining,Food Delivery
Flipkart,Online Marketplace (India),Expense,Shopping,General Retail
Florida Power & Light,Electric Utility,Expense,Housing & Utilities,Utilities
Flour + Water,Italian Restaurant (SF),Expense,Food & Dining,Restaurants
Flower Child,Healthy Fast Casual,Expense,Food & Dining,Restaurants
Flowkey,Piano Learning App,Expense,Education,Online Learning
Floyd,Modular Furniture,Expense,Shopping,Home & Garden
Flunch,Cafeteria Restaurant (France),Expense,Food & Dining,Restaurants
Flying Tiger Copenhagen,Variety Store (Denmark),Expense,Shopping,General Retail
Fnac,Electronics & Media (France),Expense,Shopping,Electronics
Focal,Audio Equipment (France),Expense,Shopping,Electronics
Fogo de Chão,Brazilian Steakhouse,Expense,Food & Dining,Restaurants
Food 4 Less,Discount Supermarket,Expense,Food & Dining,Groceries
Food Basics,Discount Grocery (Canada),Expense,Food & Dining,Groceries
Food City,Supermarket,Expense,Food & Dining,Groceries
Food City (AZ),Hispanic Supermarket,Expense,Food & Dining,Groceries
Food Lion,Supermarket,Expense,Food & Dining,Groceries
Foodora,Food Delivery (Nordics),Expense,Food & Dining,Food Delivery
Foodpanda,Food Delivery (Asia),Expense,Food & Dining,Food Delivery
Foodtown,Supermarket,Expense,Food & Dining,Groceries
Foot Locker,Athletic Footwear Retailer,Expense,Shopping,Clothing & Apparel
Ford Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
Fore Coffee,Coffee Chain (Indonesia),Expense,Food & Dining,Coffee & Tea
Forever 21,Fast Fashion Retailer,Expense,Shopping,Clothing & Apparel
Formula 1,Motor Racing,Expense,Entertainment,Sports & Recreation
Fortitude Bakehouse,Bakery (Melbourne),Expense,Food & Dining,Bakery & Desserts
Fortnum & Mason,Luxury Food (London),Expense,Food & Dining,Groceries
Foschini,Fashion Retailer (South Africa),Expense,Shopping,Clothing & Apparel
Fossil,Fashion Watches & Accessories,Expense,Shopping,Clothing & Apparel
Foster's Hollywood,American Restaurant (Spain),Expense,Food & Dining,Restaurants
Four Barrel Coffee,Specialty Coffee (SF),Expense,Food & Dining,Coffee & Tea
Four Seasons,Luxury Hotel,Expense,Travel,Hotels & Lodging
Four Square,Convenience (NZ),Expense,Food & Dining,Groceries
Framer,Interactive Design Tool,Expense,Technology,Software & SaaS
Franco Manca,Sourdough Pizza (UK),Expense,Food & Dining,Restaurants
Frank and Oak,Sustainable Fashion,Expense,Shopping,Clothing & Apparel
Frank Pepe's,Coal-Fired Pizza (CT),Expense,Food & Dining,Restaurants
Frankie & Benny's,Italian-American Restaurant (UK),Expense,Food & Dining,Restaurants
Franprix,Supermarket Chain,Expense,Food & Dining,Groceries
Freddy's,Fast Casual Frozen Custard,Expense,Food & Dining,Fast Food
Freddy's Frozen Custard,Fast Casual,Expense,Food & Dining,Restaurants
Free Mobile,Telecom (France),Expense,Housing & Utilities,Utilities
Free Now,Ride-Hailing (Europe),Expense,Transportation,Rideshare
Free People,Bohemian Fashion,Expense,Shopping,Home & Garden
Freehand Hotels,Boutique Hostel/Hotel,Expense,Travel,Hotels & Lodging
Freelance Payment,Self-Employment Income,Income,Transfers,Deposit
Freeletics,AI Personal Training,Expense,Entertainment,Sports & Recreation
FreeTaxUSA,Free Tax Filing,Expense,Financial Services,Banking Fees
French Connection,Fashion Brand (UK),Expense,Shopping,Clothing & Apparel
Fresh Market,Specialty Grocery,Expense,Food & Dining,Groceries
Fresh Thyme,Natural Grocery,Expense,Food & Dining,Groceries
FreshBooks,Invoicing & Accounting,Expense,Technology,Software & SaaS
FreshCo,Discount Grocery (Canada),Expense,Food & Dining,Groceries
FreshDirect,Online Grocery,Expense,Food & Dining,Restaurants
Freshly,Prepared Meal Delivery,Expense,Food & Dining,Restaurants
Freshness Burger,Fast Casual Burger (Japan),Expense,Food & Dining,Fast Food
Freshworks,Business Software Suite,Expense,Technology,Software & SaaS
Fressnapf,Pet Supply (Germany),Expense,Shopping,Pet Supplies
Friendly's,Family Dining & Ice Cream,Expense,Food & Dining,Restaurants
FromSoftware,Game Developer (Japan),Expense,Entertainment,Gaming
Frontier Airlines,Ultra-Low-Cost Airline,Expense,Travel,Airlines
Frontier Communications,Internet & Phone,Expense,Housing & Utilities,Utilities
Fry's Electronics,Electronics Retailer,Expense,Shopping,Electronics
fuboTV,Sports-Focused Live TV,Expense,Entertainment,Streaming Video
Fuel Meals,Prepared Meals,Expense,Food & Dining,Restaurants
Fuglen,Coffee & Cocktails (Oslo/Tokyo),Expense,Food & Dining,Coffee & Tea
Fuji-Q Highland,Amusement Park (Japan),Expense,Entertainment,Amusement & Parks
Fujifilm,Camera & Imaging (Japan),Expense,Shopping,Electronics
FullStory,Digital Experience Analytics,Expense,Technology,Software & SaaS
Funimation,Anime Streaming,Expense,Entertainment,Streaming Video
Fuzzy's Taco Shop,Taco Restaurant,Expense,Food & Dining,Restaurants
