public_category,root,mid_level,leaf
Wealth Management,Expense,Financial Services,Banking Fees
Cryptocurrency Exchange/ATM,Expense,Financial Services,Crypto & Trading
Investment Advisory & News,Expense,Financial Services,Investment
Micro-Investing App,Expense,Financial Services,Investment
Online Personal Lending,Expense,Financial Services,Lending & Loans
Real Estate Appraisal Service,Expense,Financial Services,Lending & Loans
Artisan Bakery,Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (Ann Arbor),Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (LA),Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (London),Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (SF),Expense,Food & Dining,Bakery & Desserts
Artisan Bakery (Sydney),Expense,Food & Dining,Bakery & Desserts
Artisan Bread (Berkeley),Expense,Food & Dining,Bakery & Desserts
Artisan Bread (NYC),Expense,Food & Dining,Bakery & Desserts
Artisan Doughnut Shop,Expense,Food & Dining,Bakery & Desserts
Artisan Sourdough (Sydney),Expense,Food & Dining,Bakery & Desserts
Asian Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Austrian Bakery,Expense,Food & Dining,Bakery & Desserts
Bagel (Ottawa),Expense,Food & Dining,Bakery & Desserts
Bagel Chain,Expense,Food & Dining,Bakery & Desserts
Bagel Shop (London),Expense,Food & Dining,Bakery & Desserts
Bagel Shop (NYC),Expense,Food & Dining,Bakery & Desserts
Bakery,Expense,Food & Dining,Bakery & Desserts
Bakery & Baking School (London),Expense,Food & Dining,Bakery & Desserts
Bakery & Cafe (Sydney),Expense,Food & Dining,Bakery & Desserts
"Bakery & Deli (Venice, CA)",Expense,Food & Dining,Bakery & Desserts
Bakery & Ice Cream Combo,Expense,Food & Dining,Bakery & Desserts
Bakery & Restaurant (Brooklyn),Expense,Food & Dining,Bakery & Desserts
Bakery & Restaurant (SF),Expense,Food & Dining,Bakery & Desserts
Bakery (Brooklyn),Expense,Food & Dining,Bakery & Desserts
Bakery (London),Expense,Food & Dining,Bakery & Desserts
Bakery (Melbourne),Expense,Food & Dining,Bakery & Desserts
Bakery Cafe,Expense,Food & Dining,Bakery & Desserts
Bakery Cafe Chain,Expense,Food & Dining,Bakery & Desserts
Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Challah Bakery (London),Expense,Food & Dining,Bakery & Desserts
Cinnamon Roll Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Cookie Bakery,Expense,Food & Dining,Bakery & Desserts
Cooperative Bakery (SF),Expense,Food & Dining,Bakery & Desserts
Croissant Bakery (Melbourne),Expense,Food & Dining,Bakery & Desserts
Cuban Bakery,Expense,Food & Dining,Bakery & Desserts
Cuban Bakery (LA),Expense,Food & Dining,Bakery & Desserts
Cupcake & Dessert Bakery,Expense,Food & Dining,Bakery & Desserts
Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Danish Bakery (London),Expense,Food & Dining,Bakery & Desserts
Doughnut Chain,Expense,Food & Dining,Bakery & Desserts
Fine Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
French Artisan Bakery,Expense,Food & Dining,Bakery & Desserts
French Artisan Bakery & Patisserie,Expense,Food & Dining,Bakery & Desserts
French Bakery,Expense,Food & Dining,Bakery & Desserts
French Bakery (Brooklyn),Expense,Food & Dining,Bakery & Desserts
French Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
French Bakery Cafe,Expense,Food & Dining,Bakery & Desserts
French Luxury Patisserie,Expense,Food & Dining,Bakery & Desserts
French Patisserie,Expense,Food & Dining,Bakery & Desserts
French Patisserie (Macarons),Expense,Food & Dining,Bakery & Desserts
French Sourdough Bakery,Expense,Food & Dining,Bakery & Desserts
French Tea Room & Patisserie,Expense,Food & Dining,Bakery & Desserts
German Patisserie,Expense,Food & Dining,Bakery & Desserts
German-Inspired Bakery (London),Expense,Food & Dining,Bakery & Desserts
Gourmet Doughnut (London),Expense,Food & Dining,Bakery & Desserts
Hungarian Patisserie,Expense,Food & Dining,Bakery & Desserts
Israeli/Danish Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Italian Bakery,Expense,Food & Dining,Bakery & Desserts
Italian Gelato & Pastry,Expense,Food & Dining,Bakery & Desserts
Italian Market Bakery,Expense,Food & Dining,Bakery & Desserts
Italian-American Bakery,Expense,Food & Dining,Bakery & Desserts
Japanese Bakery,Expense,Food & Dining,Bakery & Desserts
Japanese Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Japanese Cheesecake,Expense,Food & Dining,Bakery & Desserts
Japanese Cream Puff Chain,Expense,Food & Dining,Bakery & Desserts
Jewish Appetizing (NYC),Expense,Food & Dining,Bakery & Desserts
Korean Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Late-Night Cookie Delivery,Expense,Food & Dining,Bakery & Desserts
Luxury Crêpe Cake Boutique,Expense,Food & Dining,Bakery & Desserts
Made-to-Order Doughnut Shop,Expense,Food & Dining,Bakery & Desserts
Mini Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Modern Bakery & Desserts,Expense,Food & Dining,Bakery & Desserts
Montreal Bagel Shop,Expense,Food & Dining,Bakery & Desserts
Montreal-Style Bagels (NYC),Expense,Food & Dining,Bakery & Desserts
Multicultural Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Novelty Doughnut Shop,Expense,Food & Dining,Bakery & Desserts
Organic Bakery (London),Expense,Food & Dining,Bakery & Desserts
Pastry (NYC),Expense,Food & Dining,Bakery & Desserts
Portuguese Patisserie,Expense,Food & Dining,Bakery & Desserts
Portuguese Tart Bakery,Expense,Food & Dining,Bakery & Desserts
Soft Pretzel Chain,Expense,Food & Dining,Bakery & Desserts
Sourdough Bakery (SF),Expense,Food & Dining,Bakery & Desserts
Specialty Cake Shop,Expense,Food & Dining,Bakery & Desserts
Specialty Cookie Shop,Expense,Food & Dining,Bakery & Desserts
Specialty Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Specialty Doughnut,Expense,Food & Dining,Bakery & Desserts
Taiwanese Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Toast & Coffee (SF),Expense,Food & Dining,Bakery & Desserts
Viennese Patisserie,Expense,Food & Dining,Bakery & Desserts
Austrian Coffee Brand,Expense,Food & Dining,Coffee & Tea
Bubble Tea Chain,Expense,Food & Dining,Coffee & Tea
Bubble Tea Shop,Expense,Food & Dining,Coffee & Tea
Cheese Tea Chain (China),Expense,Food & Dining,Coffee & Tea
Coffee & Cocktails (Oslo/Tokyo),Expense,Food & Dining,Coffee & Tea
Coffee & Donut Chain,Expense,Food & Dining,Coffee & Tea
Coffee & Fast Food,Expense,Food & Dining,Coffee & Tea
Coffee & Food (Australia),Expense,Food & Dining,Coffee & Tea
Coffee & Tea Chain,Expense,Food & Dining,Coffee & Tea
Coffee (Barcelona),Expense,Food & Dining,Coffee & Tea
Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
Coffee (Stockholm),Expense,Food & Dining,Coffee & Tea
Coffee Brand (India),Expense,Food & Dining,Coffee & Tea
Coffee Chain,Expense,Food & Dining,Coffee & Tea
Coffee Chain (AU),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Asia),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Australia),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Canada),Expense,Food & Dining,Coffee & Tea
Coffee Chain (China),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Finland),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Germany),Expense,Food & Dining,Coffee & Tea
Coffee Chain (HK),Expense,Food & Dining,Coffee & Tea
Coffee Chain (India),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Indonesia),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Japan),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Korea),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Malaysia),Expense,Food & Dining,Coffee & Tea
Coffee Chain (NYC),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Ottawa),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Scandinavia),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Sweden),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Thailand),Expense,Food & Dining,Coffee & Tea
Coffee Chain (Vancouver),Expense,Food & Dining,Coffee & Tea
Coffee Shop,Expense,Food & Dining,Coffee & Tea
Coffee Shop Chain,Expense,Food & Dining,Coffee & Tea
Coffee Shop Chain (UK),Expense,Food & Dining,Coffee & Tea
Coffee Subscription,Expense,Food & Dining,Coffee & Tea
Colombian Coffee (NYC),Expense,Food & Dining,Coffee & Tea
Drive-Through Coffee,Expense,Food & Dining,Coffee & Tea
Fast Casual & Coffee (HK),Expense,Food & Dining,Coffee & Tea
French Bakery & Cafe,Expense,Food & Dining,Coffee & Tea
French Bakery Cafe,Expense,Food & Dining,Coffee & Tea
Gas Station Coffee,Expense,Food & Dining,Coffee & Tea
Independent Coffee Shop,Expense,Food & Dining,Coffee & Tea
Italian Coffee Brand/Cafe,Expense,Food & Dining,Coffee & Tea
Italian Coffee Chain,Expense,Food & Dining,Coffee & Tea
Japanese Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Luxury Tea Salon,Expense,Food & Dining,Coffee & Tea
McDonald's Coffee Brand,Expense,Food & Dining,Coffee & Tea
Premium Tea Brand,Expense,Food & Dining,Coffee & Tea
Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Specialty Coffee & Draft Latte,Expense,Food & Dining,Coffee & Tea
Specialty Coffee (AU/Portland),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Barcelona),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Berlin),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Brooklyn),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Cornwall),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Florence),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Greenville),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (India),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (London),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Melbourne),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Michigan),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Milan),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (NYC),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (NYC/AU),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (NZ),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (NZ/London),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Oslo),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Portland),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (SF),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Stockholm),Expense,Food & Dining,Coffee & Tea
Specialty Coffee (Sydney),Expense,Food & Dining,Coffee & Tea
Specialty Coffee Chain,Expense,Food & Dining,Coffee & Tea
Specialty Coffee Roaster,Expense,Food & Dining,Coffee & Tea
Specialty Roaster (London),Expense,Food & Dining,Coffee & Tea
Specialty Tea Retailer,Expense,Food & Dining,Coffee & Tea
Specialty Tea Retailer (AU),Expense,Food & Dining,Coffee & Tea
Strong Coffee Brand,Expense,Food & Dining,Coffee & Tea
Subscription Coffee,Expense,Food & Dining,Coffee & Tea
Tea & Bakery (China),Expense,Food & Dining,Coffee & Tea
Tea House,Expense,Food & Dining,Coffee & Tea
Veteran-Owned Coffee,Expense,Food & Dining,Coffee & Tea
Bakery & Fast Food (UK),Expense,Food & Dining,Fast Food
Cheesesteak,Expense,Food & Dining,Fast Food
Cheesesteak Fast Food,Expense,Food & Dining,Fast Food
Chicken Wing Restaurant,Expense,Food & Dining,Fast Food
Cinnamon Roll Bakery,Expense,Food & Dining,Fast Food
Coastal Mexican,Expense,Food & Dining,Fast Food
Confectionery & Candy Shop,Expense,Food & Dining,Fast Food
Curry Restaurant (Japan),Expense,Food & Dining,Fast Food
Deep Dish Pizza (STL),Expense,Food & Dining,Fast Food
Delivery Platform (Saudi),Expense,Food & Dining,Fast Food
Doughnut Shop,Expense,Food & Dining,Fast Food
Doughnut Shop & Coffee,Expense,Food & Dining,Fast Food
East Coast Subs,Expense,Food & Dining,Fast Food
Farm-to-Table Fast Casual,Expense,Food & Dining,Fast Food
Fast Casual Asian,Expense,Food & Dining,Fast Food
Fast Casual Burger,Expense,Food & Dining,Fast Food
Fast Casual Burger (Germany),Expense,Food & Dining,Fast Food
Fast Casual Burger (Japan),Expense,Food & Dining,Fast Food
Fast Casual Burger Restaurant,Expense,Food & Dining,Fast Food
Fast Casual Butter Burger,Expense,Food & Dining,Fast Food
Fast Casual Chicken,Expense,Food & Dining,Fast Food
Fast Casual Chicken Restaurant,Expense,Food & Dining,Fast Food
Fast Casual Chinese,Expense,Food & Dining,Fast Food
Fast Casual Deli,Expense,Food & Dining,Fast Food
Fast Casual Frozen Custard,Expense,Food & Dining,Fast Food
Fast Casual Healthy,Expense,Food & Dining,Fast Food
Fast Casual Hot Dogs,Expense,Food & Dining,Fast Food
Fast Casual Italian,Expense,Food & Dining,Fast Food
Fast Casual Japanese/Asian,Expense,Food & Dining,Fast Food
Fast Casual Kebab Restaurant,Expense,Food & Dining,Fast Food
Fast Casual Mexican,Expense,Food & Dining,Fast Food
Fast Casual Mexican (AU),Expense,Food & Dining,Fast Food
Fast Casual Natural Food,Expense,Food & Dining,Fast Food
Fast Casual Noodle,Expense,Food & Dining,Fast Food
Fast Casual Peri-Peri Chicken,Expense,Food & Dining,Fast Food
Fast Casual Pizza,Expense,Food & Dining,Fast Food
Fast Casual Restaurant,Expense,Food & Dining,Fast Food
Fast Casual Sandwich,Expense,Food & Dining,Fast Food
Fast Casual Sandwich & Coffee,Expense,Food & Dining,Fast Food
Fast Casual Sandwich Shop,Expense,Food & Dining,Fast Food
Fast Casual Seafood/Mexican,Expense,Food & Dining,Fast Food
Fast Casual Sub,Expense,Food & Dining,Fast Food
Fast Casual Taco,Expense,Food & Dining,Fast Food
Fast Casual Teriyaki,Expense,Food & Dining,Fast Food
Fast Casual Toasted Sub,Expense,Food & Dining,Fast Food
Fast Casual Wing Restaurant,Expense,Food & Dining,Fast Food
Fast Food & Ice Cream,Expense,Food & Dining,Fast Food
Fast Food (Filipino),Expense,Food & Dining,Fast Food
Fast Food (Japan),Expense,Food & Dining,Fast Food
Fast Food (Korean),Expense,Food & Dining,Fast Food
Fast Food (Malaysia),Expense,Food & Dining,Fast Food
Fast Food (Sweden),Expense,Food & Dining,Fast Food
Fast Food Burger,Expense,Food & Dining,Fast Food
Fast Food Burger (AU),Expense,Food & Dining,Fast Food
Fast Food Burger (Belgium/France),Expense,Food & Dining,Fast Food
Fast Food Burger (Finland),Expense,Food & Dining,Fast Food
Fast Food Burger (Japan),Expense,Food & Dining,Fast Food
Fast Food Burger (South Africa),Expense,Food & Dining,Fast Food
Fast Food Burger (Sweden),Expense,Food & Dining,Fast Food
Fast Food Burger (UK/SA),Expense,Food & Dining,Fast Food
Fast Food Chicken,Expense,Food & Dining,Fast Food
Fast Food Chicken (AU),Expense,Food & Dining,Fast Food
Fast Food Chicken (Latin Am),Expense,Food & Dining,Fast Food
Fast Food Chicken (Saudi Arabia),Expense,Food & Dining,Fast Food
Fast Food Chicken (South Africa),Expense,Food & Dining,Fast Food
Fast Food Chicken Fingers,Expense,Food & Dining,Fast Food
Fast Food Chicken Restaurant,Expense,Food & Dining,Fast Food
Fast Food Chinese,Expense,Food & Dining,Fast Food
Fast Food Chinese Restaurant,Expense,Food & Dining,Fast Food
Fast Food Drive-In,Expense,Food & Dining,Fast Food
Fast Food Fried Chicken,Expense,Food & Dining,Fast Food
Fast Food Grilled Chicken,Expense,Food & Dining,Fast Food
Fast Food Gyudon (Japan),Expense,Food & Dining,Fast Food
Fast Food Hot Dogs,Expense,Food & Dining,Fast Food
Fast Food Japanese,Expense,Food & Dining,Fast Food
Fast Food Japanese Beef Bowl,Expense,Food & Dining,Fast Food
Fast Food Mexican,Expense,Food & Dining,Fast Food
Fast Food Mexican Restaurant,Expense,Food & Dining,Fast Food
Fast Food Portuguese Chicken (AU),Expense,Food & Dining,Fast Food
Fast Food Restaurant,Expense,Food & Dining,Fast Food
Fast Food Roast Beef,Expense,Food & Dining,Fast Food
Fast Food Sandwich,Expense,Food & Dining,Fast Food
Fast Food Sandwich Chain,Expense,Food & Dining,Fast Food
Fast Food Seafood,Expense,Food & Dining,Fast Food
Fast Food Seafood (Germany),Expense,Food & Dining,Fast Food
Fast Food Slider,Expense,Food & Dining,Fast Food
Fast Food Steakburger,Expense,Food & Dining,Fast Food
Fast Food Taco Shop,Expense,Food & Dining,Fast Food
Flame-Grilled Chicken,Expense,Food & Dining,Fast Food
Fried Chicken (Asia),Expense,Food & Dining,Fast Food
Fried Chicken Restaurant,Expense,Food & Dining,Fast Food
Korean Fried Chicken Chain,Expense,Food & Dining,Fast Food
Mediterranean,Expense,Food & Dining,Fast Food
Multi-Brand Fast Food (Mexico),Expense,Food & Dining,Fast Food
Pita Wrap Restaurant,Expense,Food & Dining,Fast Food
Pizza (Dayton OH),Expense,Food & Dining,Fast Food
Pizza (Ohio),Expense,Food & Dining,Fast Food
Pizza Buffet,Expense,Food & Dining,Fast Food
Pizza Chain,Expense,Food & Dining,Fast Food
Pizza Chain (Africa),Expense,Food & Dining,Fast Food
Pizza Chain (Cincinnati),Expense,Food & Dining,Fast Food
Pizza Chain (Midwest),Expense,Food & Dining,Fast Food
Pizza Chain (Spain),Expense,Food & Dining,Fast Food
Pizza Chain (Wisconsin),Expense,Food & Dining,Fast Food
Pizza Delivery & Carryout,Expense,Food & Dining,Fast Food
Pizza Restaurant Chain,Expense,Food & Dining,Fast Food
Pizzeria,Expense,Food & Dining,Fast Food
Salad Fast Casual,Expense,Food & Dining,Fast Food
Sandwich Shop,Expense,Food & Dining,Fast Food
Soft Pretzel Chain,Expense,Food & Dining,Fast Food
Sports Bar & Wings,Expense,Food & Dining,Fast Food
St. Louis Pizza,Expense,Food & Dining,Fast Food
St. Louis-Style Pizza,Expense,Food & Dining,Fast Food
Sub Sandwich Chain,Expense,Food & Dining,Fast Food
Take-and-Bake Pizza,Expense,Food & Dining,Fast Food
Delivery (Middle East),Expense,Food & Dining,Food Delivery
Food Delivery & Restaurant Discovery,Expense,Food & Dining,Food Delivery
Food Delivery (Africa),Expense,Food & Dining,Food Delivery
Food Delivery (Asia),Expense,Food & Dining,Food Delivery
Food Delivery (Brazil),Expense,Food & Dining,Food Delivery
Food Delivery (Canada),Expense,Food & Dining,Food Delivery
Food Delivery (China),Expense,Food & Dining,Food Delivery
Food Delivery (Chinese diaspora),Expense,Food & Dining,Food Delivery
Food Delivery (EU),Expense,Food & Dining,Food Delivery
Food Delivery (Germany),Expense,Food & Dining,Food Delivery
Food Delivery (India),Expense,Food & Dining,Food Delivery
Food Delivery (Japan),Expense,Food & Dining,Food Delivery
Food Delivery (Korea),Expense,Food & Dining,Food Delivery
Food Delivery (Latin Am),Expense,Food & Dining,Food Delivery
Food Delivery (Latin America),Expense,Food & Dining,Food Delivery
Food Delivery (Lebanon),Expense,Food & Dining,Food Delivery
Food Delivery (Middle East),Expense,Food & Dining,Food Delivery
Food Delivery (Nigeria),Expense,Food & Dining,Food Delivery
Food Delivery (Nordics),Expense,Food & Dining,Food Delivery
Food Delivery (Nordics/EU),Expense,Food & Dining,Food Delivery
Food Delivery (SE Asia),Expense,Food & Dining,Food Delivery
Food Delivery (Saudi),Expense,Food & Dining,Food Delivery
Food Delivery (South Africa),Expense,Food & Dining,Food Delivery
Food Delivery (Thailand),Expense,Food & Dining,Food Delivery
Food Delivery (UK/EU),Expense,Food & Dining,Food Delivery
Food Delivery Platform,Expense,Food & Dining,Food Delivery
Grocery Delivery Platform,Expense,Food & Dining,Food Delivery
Instant Delivery (India),Expense,Food & Dining,Food Delivery
Instant Delivery Platform,Expense,Food & Dining,Food Delivery
Instant Grocery Delivery,Expense,Food & Dining,Food Delivery
Multi-Category Delivery,Expense,Food & Dining,Food Delivery
Multi-Category Delivery (EU),Expense,Food & Dining,Food Delivery
Multi-Category Delivery (India),Expense,Food & Dining,Food Delivery
Multi-Category Delivery (Latin Am),Expense,Food & Dining,Food Delivery
Multi-Category Delivery Platform,Expense,Food & Dining,Food Delivery
Premium Food Delivery,Expense,Food & Dining,Food Delivery
Premium Food Delivery Platform,Expense,Food & Dining,Food Delivery
Asian Supermarket,Expense,Food & Dining,Groceries
Asian Supermarket (Canada),Expense,Food & Dining,Groceries
Budget Organic Grocery,Expense,Food & Dining,Groceries
Bulk Food Store (Canada),Expense,Food & Dining,Groceries
Chinese Grocery,Expense,Food & Dining,Groceries
Chinese Supermarket,Expense,Food & Dining,Groceries
Co-op Grocery,Expense,Food & Dining,Groceries
Co-op Grocery (NYC),Expense,Food & Dining,Groceries
Convenience (NZ),Expense,Food & Dining,Groceries
Convenience Store,Expense,Food & Dining,Groceries
Convenience Store & Fried Chicken,Expense,Food & Dining,Groceries
Convenience Store & Gas,Expense,Food & Dining,Groceries
Convenience Store Chain,Expense,Food & Dining,Groceries
Convenience Supermarket,Expense,Food & Dining,Groceries
Cooperative Grocery,Expense,Food & Dining,Groceries
Cooperative Grocery (WI),Expense,Food & Dining,Groceries
Cooperative Supermarket,Expense,Food & Dining,Groceries
Department Store & Supermarket,Expense,Food & Dining,Groceries
Discount Grocery,Expense,Food & Dining,Groceries
Discount Grocery (Canada),Expense,Food & Dining,Groceries
Discount Grocery (Quebec),Expense,Food & Dining,Groceries
Discount Grocery Store,Expense,Food & Dining,Groceries
Discount Store Chain,Expense,Food & Dining,Groceries
Discount Supermarket,Expense,Food & Dining,Groceries
Discount Supermarket (NZ),Expense,Food & Dining,Groceries
Filipino Supermarket,Expense,Food & Dining,Groceries
Food Market (London),Expense,Food & Dining,Groceries
Fresh Food Market,Expense,Food & Dining,Groceries
Frozen Food Specialty,Expense,Food & Dining,Groceries
Frozen Food Supermarket,Expense,Food & Dining,Groceries
Gourmet Food (Munich),Expense,Food & Dining,Groceries
Gourmet Food Market,Expense,Food & Dining,Groceries
Halal Grocery,Expense,Food & Dining,Groceries
Halal Grocery & Farm,Expense,Food & Dining,Groceries
Halal Meat Market,Expense,Food & Dining,Groceries
Health Food Store,Expense,Food & Dining,Groceries
Hispanic Butcher/Grocery,Expense,Food & Dining,Groceries
Hispanic Grocery,Expense,Food & Dining,Groceries
Hispanic Supermarket,Expense,Food & Dining,Groceries
Hypermarket,Expense,Food & Dining,Groceries
Hypermarket Chain,Expense,Food & Dining,Groceries
Independent Supermarket,Expense,Food & Dining,Groceries
Indian Grocery,Expense,Food & Dining,Groceries
Indian Grocery Store,Expense,Food & Dining,Groceries
Italian Food Market,Expense,Food & Dining,Groceries
Italian Food Market (London),Expense,Food & Dining,Groceries
Japanese Grocery,Expense,Food & Dining,Groceries
Japanese Supermarket,Expense,Food & Dining,Groceries
Korean Grocery,Expense,Food & Dining,Groceries
Korean Grocery Store,Expense,Food & Dining,Groceries
Korean Supermarket,Expense,Food & Dining,Groceries
Luxury Food (London),Expense,Food & Dining,Groceries
Luxury Food (Paris),Expense,Food & Dining,Groceries
Luxury Food Hall (Berlin),Expense,Food & Dining,Groceries
Luxury Food Hall (London),Expense,Food & Dining,Groceries
Luxury Food Hall (Paris),Expense,Food & Dining,Groceries
Mediterranean Grocery (Canada),Expense,Food & Dining,Groceries
Natural & Organic Grocery,Expense,Food & Dining,Groceries
Natural Grocery,Expense,Food & Dining,Groceries
Natural Grocery (CA),Expense,Food & Dining,Groceries
Natural Grocery (San Diego),Expense,Food & Dining,Groceries
Online Grocery (AU),Expense,Food & Dining,Groceries
Online Grocery Delivery,Expense,Food & Dining,Groceries
Organic Cooperative (France),Expense,Food & Dining,Groceries
Organic Grocery,Expense,Food & Dining,Groceries
Organic Grocery (France),Expense,Food & Dining,Groceries
Organic Grocery (Germany),Expense,Food & Dining,Groceries
Organic Grocery (SD),Expense,Food & Dining,Groceries
Organic Luxury Grocery (LA),Expense,Food & Dining,Groceries
Pharmacy & Convenience,Expense,Food & Dining,Groceries
Premium Food Retailer,Expense,Food & Dining,Groceries
Premium Grocery,Expense,Food & Dining,Groceries
Premium Grocery (CA),Expense,Food & Dining,Groceries
Premium Grocery (MN),Expense,Food & Dining,Groceries
Premium Grocery (MO),Expense,Food & Dining,Groceries
Premium Grocery (Netherlands),Expense,Food & Dining,Groceries
Premium Grocery (OH),Expense,Food & Dining,Groceries
Premium Supermarket,Expense,Food & Dining,Groceries
Premium Supermarket (CA),Expense,Food & Dining,Groceries
South Asian Grocery,Expense,Food & Dining,Groceries
Specialty (WA),Expense,Food & Dining,Groceries
Specialty Food Market,Expense,Food & Dining,Groceries
Specialty Grocery,Expense,Food & Dining,Groceries
Specialty Grocery (CA),Expense,Food & Dining,Groceries
Specialty Grocery (MI),Expense,Food & Dining,Groceries
Specialty Grocery (Ontario),Expense,Food & Dining,Groceries
Specialty Grocery (SF),Expense,Food & Dining,Groceries
Specialty Grocery (WA),Expense,Food & Dining,Groceries
Specialty Grocery Store,Expense,Food & Dining,Groceries
Specialty Market,Expense,Food & Dining,Groceries
Specialty Market (NYC),Expense,Food & Dining,Groceries
Specialty Market (Ohio),Expense,Food & Dining,Groceries
Specialty Produce Market,Expense,Food & Dining,Groceries
Specialty Supermarket,Expense,Food & Dining,Groceries
Supercenter,Expense,Food & Dining,Groceries
Supermarket,Expense,Food & Dining,Groceries
Supermarket (Canada),Expense,Food & Dining,Groceries
Supermarket (NZ),Expense,Food & Dining,Groceries
Supermarket (Ontario),Expense,Food & Dining,Groceries
Supermarket (Quebec),Expense,Food & Dining,Groceries
Supermarket (SE US),Expense,Food & Dining,Groceries
Supermarket (TX),Expense,Food & Dining,Groceries
Supermarket Chain,Expense,Food & Dining,Groceries
Supermarket Group,Expense,Food & Dining,Groceries
Travel Center,Expense,Food & Dining,Groceries
Travel Center & Convenience,Expense,Food & Dining,Groceries
Warehouse Grocery,Expense,Food & Dining,Groceries
Warehouse Supermarket,Expense,Food & Dining,Groceries
Wholesale & Retail,Expense,Food & Dining,Groceries
Wholesale Club,Expense,Food & Dining,Groceries
Wholesale Food,Expense,Food & Dining,Groceries
Wholesale Grocery,Expense,Food & Dining,Groceries
Artisan Gelato (Italy),Expense,Food & Dining,Ice Cream & Yogurt
Artisan Gelato Shop,Expense,Food & Dining,Ice Cream & Yogurt
Artisan Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Artisan Ice Cream (NYC),Expense,Food & Dining,Ice Cream & Yogurt
Cold-Pressed Juice & Freeze,Expense,Food & Dining,Ice Cream & Yogurt
Frozen Custard (WI),Expense,Food & Dining,Ice Cream & Yogurt
Frozen Custard Chain,Expense,Food & Dining,Ice Cream & Yogurt
Frozen Dessert Shop,Expense,Food & Dining,Ice Cream & Yogurt
Frozen Yogurt Chain,Expense,Food & Dining,Ice Cream & Yogurt
Frozen Yogurt Shop,Expense,Food & Dining,Ice Cream & Yogurt
Gelato (Australia),Expense,Food & Dining,Ice Cream & Yogurt
Gelato (Brazil),Expense,Food & Dining,Ice Cream & Yogurt
Gelato Chain,Expense,Food & Dining,Ice Cream & Yogurt
Gelato Chain (Australia),Expense,Food & Dining,Ice Cream & Yogurt
Gelato Shop,Expense,Food & Dining,Ice Cream & Yogurt
Historic Gelato (Italy),Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream & Fast Food Chain,Expense,Food & Dining,Ice Cream & Yogurt
Ice Cream & Sundae Shop,Expense,Food & Dining,Ice Cream & Yogurt
