alias,canonical,notes
Shoppers Drug Mart,Shoppers Drug Mart,
ShopRite,SHOPRITE,conflict
SHOPRITE,SHOPRITE,
SHOWCASE,SHOWCASE,
Showtime,Showtime,
Shudder,Shudder,
Shufersal,Shufersal,
Shutterfly,Shutterfly,
Sizzling Szechuan,Sizzling Szechuan,
Skechers,Skechers,
Skip The Dishes,Skip The Dishes,
Slack,Slack,
Sling TV,Sling TV,
SM,SM,
SMASHVILLE HOT CHICKEN,SMASHVILLE HOT CHICKEN,
Smoothie King,Smoothie King,
SNAPOLOGY,SNAPOLOGY,
Snowflake,Snowflake,
Sobeys,Sobeys,
SOFI LENDING,SOFI LENDING,
Sofitel,Sofitel,
Sonic Drive In,Sonic Drive In,
Sony,Sony,
Soriana,Soriana,
Southwest Airlines,Southwest Airlines,
Space Needle,Space Needle,
SPAR,SPAR,
Speedway,Speedway,
SPEEDWAY,Speedway,conflict
Spicy Ramen,Spicy Ramen,
Spinneys,Spinneys,
Spirit Airlines,Spirit Airlines,
Splunk,Splunk,
Sports Authority,Sports Authority,
Sports Store,Sports Store,
SPOTHERO,SPOTHERO,
Spotify,Spotify,
Spyware,Spotify,failure_alias
SPRING LAKE COMMUNITY,SPRING LAKE COMMUNITY,
Sprouts,Sprouts,
SPROUTS FARMERS MARKET,SPROUTS FARMERS MARKET,
Squarespace,Squarespace,
ST JOHN VIANNEY HIGH SCHOOL,ST JOHN VIANNEY HIGH SCHOOL,
ST JOHN'S NURSERY SCHOOL,ST JOHN'S NURSERY SCHOOL,
ST. BENEDICT,ST. BENEDICT,
ST.BENEDICT,ST. BENEDICT,conflict
St. Regis,St. Regis,
Staples,Staples,
STAPLES,Staples,conflict
STAR BAZAAR,STAR BAZAAR,
Starbucks,Starbucks,
STARBUCKS,Starbucks,conflict
Starz,Starz,
Stewart's Shops,Stewart's Shops,
Stop & Shop,Stop & Shop,
STOP & SHOP,Stop & Shop,conflict
StrongVPN,StrongVPN,
StubHub,StubHub,
Sub Zero,Sub Zero,
SUBMITTABLE,SUBMITTABLE,
Subway,Subway,
SUBZI MANDI,SUBZI MANDI,
SUMMIT ONE,SUMMIT ONE,
SUNDAES INTERNATIONAL,SUNDAES INTERNATIONAL,
Sundance Now,Sundance Now,
SUNOCO,Sunoco,conflict
Sunoco,Sunoco,
SUPERSUMMARY,SUPERSUMMARY,
Surfshark,Surfshark,
Sushi Sensation,Sushi Sensation,
Sushi Supreme,Sushi Supreme,
Sweet Frog,Sweet Frog,
SWEET ICE CREAMERY,SWEET ICE CREAMERY,
SWING LOOSE,SWING LOOSE,
Synapse,Synapse,
T-MOBILE,T-MOBILE,
T.J. Maxx,T.J. Maxx,
Taco 911,Taco 911,
Taco Bell,Taco Bell,
TACO BELL,Taco Bell,conflict
Taco Fiesta,Taco Fiesta,
Takeaways,Takeaways,
Talabat,Talabat,
Tapas Bar,Tapas Bar,
Tapas Town,Tapas Town,
Target,Target,
TARGET,Target,conflict
Taxify,Taxify,
TCBY,TCBY,
TEAM BEACHBODY,TEAM BEACHBODY,
TEAM EXPRESS,TEAM EXPRESS,
Ted Baker,Ted Baker,
TEDDYBEARPORTRAITS.COM,TEDDYBEARPORTRAITS.COM,
TEN TEA,TEN TEA,
TERMINAL 9 GRILL,TERMINAL 9 GRILL,
Tesco,Tesco,
Tesco Lotus,Tesco Lotus,
Tesla,Tesla,
TESLA,Tesla,conflict
Texaco,Texaco,
Texas Roadhouse,Texas Roadhouse,
TGI Fridays,TGI Fridays,
THE ANCHOR FISH,THE ANCHOR FISH,
The Bricks,The Bricks,
The Cheesecake Factory,The Cheesecake Factory,
THE CHILDREN'S PLACE,THE CHILDREN'S PLACE,
THE CRYPTO MERCHANT,THE CRYPTO MERCHANT,
THE DEPOSITORY TRUST & CLEARING CORP.,THE DEPOSITORY TRUST & CLEARING CORP.,
THE HALAL CRAVE,THE HALAL CRAVE,
THE HOBBY,THE HOBBY,
THE NATIONAL SOCIETY,THE NATIONAL SOCIETY,
The North Face,The North Face,
THE PIZZERIA,THE PIZZERIA,
Thorntons,Thorntons,
Ticketmaster,Ticketmaster,
TICKETMASTER,Ticketmaster,conflict
Tidal,Tidal,
Tiffany's,Tiffany's,
Tinex,Tinex,
Tissot,Tissot,
Tommy Hilfiger,Tommy Hilfiger,
TorGuard,TorGuard,
TOWNSHIP OF OLD BRIDGE,TOWNSHIP OF OLD BRIDGE,
Toys R Us,Toys R Us,
TOYS STOP,TOYS STOP,
Trader Joe's,Trader Joe's,
Trust.Zone,Trust.Zone,
Tubi,Tubi,
TunnelBear,TunnelBear,
TURKUAZ RESTAURANT,TURKUAZ RESTAURANT,
TURNING POINT,TURNING POINT,
Tutti Frutti,Tutti Frutti,
Twitch,Twitch,
Uber,Uber,
UBER,Uber,conflict
Uber Eats,Uber Eats,
UBER EATS,Uber Eats,conflict
UBR POSTMATES,UBR POSTMATES,
ULTA,ULTA,
Ulta Beauty,Ulta Beauty,
Under Armour,Under Armour,
Union Coop,Union Coop,
Uniqlo,Uniqlo,
United Airlines,United Airlines,
URBAN AIR,URBAN AIR,
USPS,USPS,
Valero,Valero,
Vans,Vans,
VARSITYTUTORS,VARSITYTUTORS,
Verizon,Verizon,
VERIZON,Verizon,conflict
VERIZON WIRELESS,VERIZON WIRELESS,
VFS SERVICES,VFS SERVICES,
Vimeo,Vimeo,
VMware,VMware,
Volkswagen,Volkswagen,
VONAGE,VONAGE,
Vons,Vons,
VPN Unlimited,VPN Unlimited,
VPNArea,VPNArea,
VPNSecure,VPNSecure,
Vudu,Vudu,
VyprVPN,VyprVPN,
W Hotel,W Hotel,
Waitrose,Waitrose,
Waldorf Astoria,Waldorf Astoria,
Walgreens,Walgreens,
WALGREENS,Walgreens,conflict
Walmart,Walmart,
WALMART,Walmart,conflict
WAVE HOSPITALITY,WAVE HOSPITALITY,
Wawa,WAWA,conflict
WAWA,WAWA,
Wayfair,Wayfair,
WEGMANS,Wegmans,conflict
Wegmans,Wegmans,
Weis Markets,Weis Markets,
Wellcome,Wellcome,
Wendy's,Wendy's,
WENDY'S,Wendy's,conflict
Westin,Westin,
Wetzel's Pretzels,Wetzel's Pretzels,
Whataburger,Whataburger,
Whole Foods,Whole Foods,
WHOLE FOODS,Whole Foods,conflict
Windscribe,Windscribe,
Wingstop,Wingstop,
Winn Dixie,Winn-Dixie,conflict
Winn-Dixie,Winn-Dixie,
WINXDVD.COM,WINXDVD.COM,
Wish,Wish,
Wolt,Wolt,
WOODBRIDGE INTERNAL MEDICINE,WOODBRIDGE INTERNAL MEDICINE,
Woolworths,Woolworths,
Workday,Workday,
WRITTEN OUT LOUD,WRITTEN OUT LOUD,
Xbox Live,Xbox Live,
XPEL,XPEL,
Yandex,Yandex,
YANKEE CANDLE,YANKEE CANDLE,
YMCA,YMCA,
Yoga Studio,Yoga Studio,
Yogen Früz,Yogen Früz,
Yogurt City,Yogurt City,
Yogurt Mountain,Yogurt Mountain,
Yogurt World,Yogurt World,
Yogurt Zone,Yogurt Zone,
Yogurtland,Yogurtland,
YouTube,YouTube,
Yves Saint Laurent,Yves Saint Laurent,
ZAIKA BBQ,ZAIKA BBQ,
Zappos,Zappos,
Zara,Zara,
ZARA SALON,ZARA SALON,
Zaxby's,Zaxby's,
ZenMate,ZenMate,
ZGMYC Fashion Leopard,ZGMYC Fashion Leopard,
ZOLA.COM,ZOLA.COM,
Zomato,Zomato,
ZOOM,Zoom,conflict
Zoom,Zoom,
Zscaler,Zscaler,
Zumba Power Gym,Zumba Power Gym,
