merchant,root,mid_level,leaf
Ministop,Expense,Food & Dining,Groceries
Moe's Southwest Grill,Expense,Food & Dining,Fast Food
Monoprix,Expense,Food & Dining,Groceries
Morrisons,Expense,Food & Dining,Groceries
Mpon,Income,Transfers,Deposit
Mullvad,Expense,Technology,VPN & Privacy
Mytaxi,Expense,Transportation,Rideshare
N THAI,Expense,Food & Dining,Restaurants
NAYAX VENDING,Expense,Food & Dining,Snacks & Drinks
NBPA,Income,Transfers,Deposit
NETFLIX.COM,Expense,Entertainment,Streaming Video
NEW JERSEY E-ZPASS,Expense,Transportation,Public Transit
NEW JERSEY NATURAL GAS,Expense,Housing & Utilities,Utilities
NEW JERSEY TITANS HOCKEY,Expense,Entertainment,Sports & Recreation
NFL Shop,Expense,Entertainment,Sports & Recreation
NJ GOV,Expense,Personal Services,Gov & DMV
NJ MOTOR VEHICLE,Expense,Personal Services,Gov & DMV
NJ TRANSIT,Expense,Transportation,Public Transit
NOMURA,Expense,Entertainment,Movies & Events
NOMURA CAF�,Expense,Entertainment,Movies & Events
NORDIC PURE,Expense,Shopping,Home & Garden
NRS Tint Shop,Expense,Transportation,Car Service & Parts
NVIDIA,Expense,Shopping,Electronics
NYC FILM LAB,Expense,Entertainment,Movies & Events
Netflix,Expense,Entertainment,Streaming Video
Netgear,Expense,Shopping,Electronics
Netto,Expense,Food & Dining,Groceries
New Balance,Expense,Shopping,Clothing & Apparel
New York Times,Expense,Subscriptions,Media & Lifestyle
Nike,Expense,Shopping,Clothing & Apparel
Nintendo,Expense,Entertainment,Gaming
Noodles & Company,Expense,Food & Dining,Fast Food
NordVPN,Expense,Technology,VPN & Privacy
Nordstrom,Expense,Shopping,Clothing & Apparel
OLD BRIDGE PARK,Expense,Entertainment,Sports & Recreation
OLD NAVY,Expense,Shopping,Clothing & Apparel
OPENAI,Expense,Technology,Software & SaaS
OPTIMUM,Expense,Housing & Utilities,Utilities
ORAL SURGERY GROUP,Expense,Health & Wellness,Medical & Dental
OTHER WORLD COMPUTING,Expense,Shopping,Electronics
OURA RING INC.,Expense,Health & Wellness,Health Products
OXFORD CONTRACTING,Expense,Housing & Utilities,Home Services
OXXO,Expense,Food & Dining,Groceries
Office Depot,Expense,Shopping,Office Supplies
Oh Happy Day,Expense,Entertainment,Movies & Events
Ola,Expense,Transportation,Rideshare
Old Navy,Expense,Shopping,Clothing & Apparel
Olive Garden,Expense,Food & Dining,Restaurants
Omega,Expense,Shopping,Clothing & Apparel
Omron,Expense,Health & Wellness,Health Products
Oracle,Expense,Technology,Software & SaaS
Orange Leaf,Expense,Food & Dining,Ice Cream & Yogurt
Overstock,Expense,Shopping,Online Marketplace
PAPA JOHN'S,Expense,Food & Dining,Fast Food
PARTY CITY,Expense,Shopping,Discount Stores
PATEL BROTHERS,Expense,Food & Dining,Groceries
PAYMENT,Income,Transfers,Bank Transfer
PAYPAL JAFARIA SCHOOOL,Expense,Education,Tuition & School
PAYPAL WALMART,Expense,Shopping,General Retail
PEP BOYS,Expense,Transportation,Car Service & Parts
PHILLIPS 66,Expense,Transportation,Gas & Fuel
PICTURE PEOPLE,Expense,Personal Services,Photography
PLAYLAND,Expense,Entertainment,Amusement & Parks
POTATO PALOOZA,Expense,Food & Dining,Snacks & Drinks
PRESCHOOL SMILES,Expense,Kids & Family,Childcare
PRIMO WATER,Expense,Shopping,Home & Garden
PUMA,Expense,Shopping,Clothing & Apparel
Paella Paradise,Expense,Food & Dining,Restaurants
Panda,Expense,Food & Dining,Fast Food
Panda Express,Expense,Food & Dining,Fast Food
Pandora,Expense,Shopping,Clothing & Apparel
Panera Bread,Expense,Food & Dining,Restaurants
Papa John's,Expense,Food & Dining,Fast Food
Paramount+,Expense,Entertainment,Streaming Video
Park Hyatt,Expense,Travel,Hotels & Lodging
ParknShop,Expense,Food & Dining,Groceries
Party City,Expense,Shopping,Discount Stores
Pasta Paradise,Expense,Food & Dining,Restaurants
Patisserie Chocolaterie Delice,Expense,Food & Dining,Bakery & Desserts
Patisserie Chouquette,Expense,Food & Dining,Bakery & Desserts
Patisserie Eclair,Expense,Food & Dining,Bakery & Desserts
Patisserie Financier,Expense,Food & Dining,Bakery & Desserts
Patisserie Gateaux Divins,Expense,Food & Dining,Bakery & Desserts
Patisserie Macaron,Expense,Food & Dining,Bakery & Desserts
Patisserie Madeleine,Expense,Food & Dining,Bakery & Desserts
Patisserie Mille-Feuille,Expense,Food & Dining,Bakery & Desserts
Patisserie Opera Cake,Expense,Food & Dining,Bakery & Desserts
Patisserie Palmier,Expense,Food & Dining,Bakery & Desserts
Patisserie Paris-Brest,Expense,Food & Dining,Bakery & Desserts
Patisserie Religieuse,Expense,Food & Dining,Bakery & Desserts
Patisserie Saint Honore,Expense,Food & Dining,Bakery & Desserts
Peacock,Expense,Entertainment,Streaming Video
Peet's Coffee,Expense,Food & Dining,Coffee & Tea
Peloton,Expense,Health & Wellness,Fitness & Gym
Peninsula Hotel,Expense,Travel,Hotels & Lodging
Perekrestok,Expense,Food & Dining,Groceries
PetSmart,Expense,Shopping,Pet Supplies
Petco,Expense,Shopping,Pet Supplies
Phillips 66,Expense,Transportation,Gas & Fuel
Philo,Expense,Entertainment,Streaming Video
Pick n Pay,Expense,Food & Dining,Groceries
Pierogi Palace,Expense,Food & Dining,Restaurants
Pilot Travel,Expense,Transportation,Gas & Fuel
Pinkberry,Expense,Food & Dining,Ice Cream & Yogurt
Pizza Hut,Expense,Food & Dining,Fast Food
Pizza Paradise,Expense,Food & Dining,Fast Food
PlayStation,Expense,Entertainment,Gaming
Plex,Expense,Entertainment,Streaming Video
Popeyes,Expense,Food & Dining,Fast Food
Positive Bakery,Expense,Food & Dining,Bakery & Desserts
Postmates,Expense,Food & Dining,Food Delivery
Potbelly Sandwich Shop,Expense,Food & Dining,Restaurants
Pottery Barn,Expense,Shopping,Home & Garden
Poutine Paradise,Expense,Food & Dining,Restaurants
Prada,Expense,Shopping,Clothing & Apparel
Price Chopper,Expense,Food & Dining,Groceries
Prime Video,Expense,Entertainment,Streaming Video
Private Internet Access,Expense,Technology,VPN & Privacy
PrivateVPN,Expense,Technology,VPN & Privacy
Proactive,Expense,Subscriptions,Media & Lifestyle
ProtonMail,Expense,Technology,Software & SaaS
ProtonVPN,Expense,Technology,VPN & Privacy
Publix,Expense,Food & Dining,Groceries
PureVPN,Expense,Technology,VPN & Privacy
Pão de Açúcar,Expense,Food & Dining,Groceries
QATAR AIRWAYS,Expense,Travel,Airlines
QUEST DIAGNOSTICS,Expense,Health & Wellness,Medical & Dental
QUICK CHEK,Expense,Food & Dining,Groceries
Qualcomm,Expense,Shopping,Electronics
QuikTrip,Expense,Transportation,Gas & Fuel
Quiznos,Expense,Food & Dining,Fast Food
R Bailey,Income,Transfers,Deposit
RAAVI NAAN KABAB,Expense,Food & Dining,Restaurants
RACE REGISTER DONATIONS,Expense,Donations & Gifts,Charity & Donations
RAVE,Expense,Entertainment,Movies & Events
RAZ SPARDHA LEARNINGS,Expense,Education,Tuition & School
RCCA,Income,Transfers,Deposit
RCMH FOOD & MERCH,Expense,Entertainment,Movies & Events
REAL FRUIT BUBBLE,Expense,Food & Dining,Snacks & Drinks
REFRESH TEA,Expense,Food & Dining,Coffee & Tea
RENTERS/CONDO INSURANCE,Expense,Housing & Utilities,Insurance
REWE,Expense,Food & Dining,Groceries
REYDEL VOLKSWAGEN,Expense,Transportation,Car Service & Parts
RFC MENLO PARK,Income,Transfers,Deposit
RIFFYS KITCHEN,Expense,Food & Dining,Restaurants
RMG PEDIATRICS,Expense,Health & Wellness,Medical & Dental
ROBAAZ,Expense,Food & Dining,Groceries
ROCK N AIR ADVENTURE,Expense,Entertainment,Amusement & Parks
ROSETTA BAKERY,Expense,Food & Dining,Bakery & Desserts
ROUND PIE PIZZA,Expense,Food & Dining,Fast Food
ROYAL CHICKEN,Expense,Food & Dining,Fast Food
RTIC Outdoors,Expense,Shopping,Sporting Goods
RaceTrac,Expense,Transportation,Gas & Fuel
Raising Cane's,Expense,Food & Dining,Fast Food
Raising Canes,Expense,Food & Dining,Fast Food
Ralph Lauren,Expense,Shopping,Clothing & Apparel
Ralphs,Expense,Food & Dining,Groceries
RangeShop,Expense,Shopping,Home & Garden
Rappi,Expense,Food & Dining,Food Delivery
Razer,Expense,Shopping,Electronics
Red Mango,Expense,Food & Dining,Ice Cream & Yogurt
Reebok,Expense,Shopping,Clothing & Apparel
Rema 1000,Expense,Food & Dining,Groceries
Revolution Clothing,Expense,Shopping,Clothing & Apparel
Rite Aid,Expense,Health & Wellness,Pharmacy
Ritz-Carlton,Expense,Travel,Hotels & Lodging
Roku,Expense,Entertainment,Streaming Video
Ross,Expense,Shopping,General Retail
SAHARA,Expense,Food & Dining,Restaurants
SALERNOS PIZZERIA,Expense,Food & Dining,Fast Food
SAMAHA'S FARM,Expense,Food & Dining,Groceries
SAMAHA`S FARM,Expense,Food & Dining,Groceries
SAS,Expense,Travel,Airlines
SBARRO,Expense,Food & Dining,Fast Food
SCHOLASTIC BOOK FAIRS,Expense,Shopping,Books & Media
SENSATE,Expense,Health & Wellness,Health Products
SEPHORA.COM,Expense,Health & Wellness,Beauty & Spa
SERENITY DENTAL,Expense,Health & Wellness,Medical & Dental
SHAAN GRILL,Expense,Food & Dining,Restaurants
SHAHNAWAZ HALAL MEAT.,Expense,Food & Dining,Groceries
SHALIMAR HALAL MEAT,Expense,Food & Dining,Groceries
SHALIMAR SWEETS,Expense,Food & Dining,Snacks & Drinks
SHELL OIL,Expense,Transportation,Gas & Fuel
SHILLEH HALAL,Expense,Food & Dining,Groceries
SHOPRITE,Expense,Food & Dining,Groceries
SHOWCASE,Expense,Entertainment,Movies & Events
SM,Income,Transfers,Deposit
SMASHVILLE HOT CHICKEN,Expense,Food & Dining,Fast Food
SNAPOLOGY,Expense,Kids & Family,Toys & Activities
SOFI LENDING,Expense,Financial Services,Lending & Loans
SPAR,Expense,Food & Dining,Groceries
SPEEDWAY,Expense,Transportation,Gas & Fuel
SPOTHERO,Expense,Transportation,Tolls & Parking
SPRING LAKE COMMUNITY,Expense,Entertainment,Sports & Recreation
SPROUTS FARMERS MARKET,Expense,Food & Dining,Groceries
ST JOHN VIANNEY HIGH SCHOOL,Expense,Education,Tuition & School
ST JOHN'S NURSERY SCHOOL,Expense,Education,Tuition & School
ST. BENEDICT,Expense,Education,Tuition & School
ST.BENEDICT,Expense,Education,Tuition & School
STAPLES,Expense,Shopping,Office Supplies
STAR BAZAAR,Expense,Food & Dining,Groceries
STARBUCKS,Expense,Food & Dining,Coffee & Tea
STOP & SHOP,Expense,Food & Dining,Groceries
SUBMITTABLE,Expense,Entertainment,Movies & Events
SUBZI MANDI,Expense,Food & Dining,Groceries
SUMMIT ONE,Expense,Entertainment,Movies & Events
SUNDAES INTERNATIONAL,Expense,Food & Dining,Ice Cream & Yogurt
SUNOCO,Expense,Transportation,Gas & Fuel
SUPERSUMMARY,Expense,Subscriptions,Media & Lifestyle
SWEET ICE CREAMERY,Expense,Food & Dining,Ice Cream & Yogurt
SWING LOOSE,Expense,Entertainment,Amusement & Parks
SaferVPN,Expense,Technology,VPN & Privacy
Safeway,Expense,Food & Dining,Groceries
Sainsbury's,Expense,Food & Dining,Groceries
Salesforce,Expense,Technology,Software & SaaS
Salty Crew,Expense,Shopping,Sporting Goods
Sam's Club,Expense,Food & Dining,Groceries
Samsung,Expense,Shopping,Electronics
Save A Lot,Expense,Food & Dining,Groceries
Schlotzsky's,Expense,Food & Dining,Fast Food
Schnitzel Haus,Expense,Food & Dining,Restaurants
Schnitzel Shack,Expense,Food & Dining,Restaurants
Schnucks,Expense,Food & Dining,Groceries
Scholastic,Expense,Shopping,Books & Media
Seamless,Expense,Food & Dining,Food Delivery
Sephora,Expense,Health & Wellness,Beauty & Spa
Shake Shack,Expense,Food & Dining,Fast Food
Shangri-La,Expense,Travel,Hotels & Lodging
Sheetz,Expense,Transportation,Gas & Fuel
Shell,Expense,Transportation,Gas & Fuel
Sheraton,Expense,Travel,Hotels & Lodging
ShopRite,Expense,Food & Dining,Groceries
Shoppers Drug Mart,Expense,Food & Dining,Groceries
Showtime,Expense,Entertainment,Streaming Video
Shudder,Expense,Entertainment,Streaming Video
Shufersal,Expense,Food & Dining,Groceries
Shutterfly,Expense,Donations & Gifts,Gifts & Cards
Sizzling Szechuan,Expense,Food & Dining,Restaurants
Skechers,Expense,Shopping,Clothing & Apparel
Skip The Dishes,Expense,Food & Dining,Food Delivery
Slack,Expense,Technology,Software & SaaS
Sling TV,Expense,Entertainment,Streaming Video
Smoothie King,Expense,Food & Dining,Snacks & Drinks
Snowflake,Expense,Technology,Software & SaaS
Sobeys,Expense,Food & Dining,Groceries
Sofitel,Expense,Travel,Hotels & Lodging
Sonic Drive In,Expense,Food & Dining,Fast Food
Sony,Expense,Shopping,Electronics
Soriana,Expense,Food & Dining,Groceries
Southwest Airlines,Expense,Travel,Airlines
Space Needle,Expense,Entertainment,Amusement & Parks
Speedway,Expense,Transportation,Gas & Fuel
Spicy Ramen,Expense,Food & Dining,Restaurants
Spinneys,Expense,Food & Dining,Groceries
Spirit Airlines,Expense,Travel,Airlines
Splunk,Expense,Technology,Software & SaaS
Sports Authority,Expense,Shopping,Sporting Goods
Sports Store,Expense,Shopping,Sporting Goods
Spotify,Expense,Entertainment,Streaming Music
Sprouts,Expense,Food & Dining,Groceries
Squarespace,Expense,Technology,Software & SaaS
St. Regis,Expense,Travel,Hotels & Lodging
Staples,Expense,Shopping,Office Supplies
Starbucks,Expense,Food & Dining,Coffee & Tea
Starz,Expense,Entertainment,Streaming Video
Stewart's Shops,Expense,Food & Dining,Groceries
Stop & Shop,Expense,Food & Dining,Groceries
StrongVPN,Expense,Technology,VPN & Privacy
StubHub,Expense,Shopping,Online Marketplace
Sub Zero,Expense,Food & Dining,Restaurants
Subway,Expense,Food & Dining,Fast Food
Sundance Now,Expense,Entertainment,Streaming Video
Sunoco,Expense,Transportation,Gas & Fuel
Surfshark,Expense,Technology,VPN & Privacy
Sushi Sensation,Expense,Food & Dining,Restaurants
Sushi Supreme,Expense,Food & Dining,Restaurants
Sweet Frog,Expense,Food & Dining,Ice Cream & Yogurt
Synapse,Expense,Technology,Software & SaaS
T-MOBILE,Expense,Housing & Utilities,Telecom & Internet
T.J. Maxx,Expense,Shopping,General Retail
TACO BELL,Expense,Food & Dining,Fast Food
TARGET,Expense,Shopping,General Retail
TCBY,Expense,Food & Dining,Ice Cream & Yogurt
TEAM BEACHBODY,Expense,Health & Wellness,Fitness & Gym
TEAM EXPRESS,Expense,Shopping,Sporting Goods
TEDDYBEARPORTRAITS.COM,Expense,Personal Services,Photography
TEN TEA,Expense,Food & Dining,Coffee & Tea
TERMINAL 9 GRILL,Expense,Food & Dining,Restaurants
TESLA,Expense,Shopping,Electronics
TGI Fridays,Expense,Food & Dining,Restaurants
THE ANCHOR FISH,Expense,Food & Dining,Restaurants
THE CHILDREN'S PLACE,Expense,Kids & Family,Toys & Activities
THE CRYPTO MERCHANT,Expense,Financial Services,Crypto & Trading
THE DEPOSITORY TRUST & CLEARING CORP.,Expense,Financial Services,Banking Fees
THE HALAL CRAVE,Expense,Food & Dining,Restaurants
THE HOBBY,Expense,Kids & Family,Toys & Activities
THE NATIONAL SOCIETY,Expense,Donations & Gifts,Charity & Donations
THE PIZZERIA,Expense,Food & Dining,Fast Food
TICKETMASTER,Expense,Entertainment,Movies & Events
TOWNSHIP OF OLD BRIDGE,Expense,Personal Services,Gov & DMV
TOYS STOP,Expense,Kids & Family,Toys & Activities
TURKUAZ RESTAURANT,Expense,Food & Dining,Restaurants
TURNING POINT,Expense,Food & Dining,Restaurants
Taco 911,Expense,Food & Dining,Fast Food
Taco Bell,Expense,Food & Dining,Fast Food
Taco Fiesta,Expense,Food & Dining,Fast Food
Takeaways,Expense,Food & Dining,Food Delivery
Talabat,Expense,Food & Dining,Food Delivery
Tapas Bar,Expense,Food & Dining,Restaurants
Tapas Town,Expense,Food & Dining,Restaurants
Target,Expense,Shopping,General Retail
Taxify,Expense,Transportation,Rideshare
Ted Baker,Expense,Shopping,Clothing & Apparel
Tesco,Expense,Food & Dining,Groceries
Tesco Lotus,Expense,Food & Dining,Groceries
Tesla,Expense,Shopping,Electronics
Texaco,Expense,Transportation,Gas & Fuel
Texas Roadhouse,Expense,Food & Dining,Restaurants
The Bricks,Expense,Shopping,Home & Garden
The Cheesecake Factory,Expense,Food & Dining,Restaurants
The North Face,Expense,Shopping,Clothing & Apparel
Thorntons,Expense,Food & Dining,Groceries
Ticketmaster,Expense,Entertainment,Movies & Events
Tidal,Expense,Entertainment,Streaming Music
Tiffany's,Expense,Shopping,Clothing & Apparel
Tinex,Expense,Food & Dining,Groceries
Tissot,Expense,Shopping,Clothing & Apparel
Tommy Hilfiger,Expense,Shopping,Clothing & Apparel
TorGuard,Expense,Technology,VPN & Privacy
Toys R Us,Expense,Kids & Family,Toys & Activities
Trader Joe's,Expense,Food & Dining,Groceries
Trust.Zone,Expense,Technology,VPN & Privacy
Tubi,Expense,Entertainment,Streaming Video
TunnelBear,Expense,Technology,VPN & Privacy
Tutti Frutti,Expense,Food & Dining,Ice Cream & Yogurt
Twitch,Expense,Entertainment,Gaming
UBER,Expense,Transportation,Rideshare
UBER EATS,Expense,Food & Dining,Food Delivery
UBR POSTMATES,Expense,Food & Dining,Food Delivery
ULTA,Expense,Health & Wellness,Beauty & Spa
URBAN AIR,Expense,Entertainment,Amusement & Parks
USPS,Expense,Personal Services,Printing & Shipping
Uber,Expense,Transportation,Rideshare
Uber Eats,Expense,Food & Dining,Food Delivery
Ulta Beauty,Expense,Health & Wellness,Beauty & Spa
Under Armour,Expense,Shopping,Clothing & Apparel
Union Coop,Expense,Food & Dining,Groceries
Uniqlo,Expense,Shopping,Clothing & Apparel
United Airlines,Expense,Travel,Airlines
VARSITYTUTORS,Expense,Education,Online Learning
VERIZON,Expense,Housing & Utilities,Telecom & Internet
VERIZON WIRELESS,Expense,Housing & Utilities,Telecom & Internet
VFS SERVICES,Expense,Entertainment,Movies & Events
VMware,Expense,Technology,Software & SaaS
VONAGE,Expense,Housing & Utilities,Utilities
VPN Unlimited,Expense,Technology,VPN & Privacy
VPNArea,Expense,Technology,VPN & Privacy
VPNSecure,Expense,Technology,VPN & Privacy
Valero,Expense,Transportation,Gas & Fuel
Vans,Expense,Shopping,Clothing & Apparel
Verizon,Expense,Housing & Utilities,Telecom & Internet
Vimeo,Expense,Entertainment,Streaming Video
Volkswagen,Expense,Transportation,Car Service & Parts
Vons,Expense,Food & Dining,Groceries
Vudu,Expense,Entertainment,Streaming Video
VyprVPN,Expense,Technology,VPN & Privacy
W Hotel,Expense,Travel,Hotels & Lodging
WALGREENS,Expense,Health & Wellness,Pharmacy
WALMART,Expense,Shopping,General Retail
WAVE HOSPITALITY,Expense,Entertainment,Movies & Events
WAWA,Expense,Transportation,Gas & Fuel
WEGMANS,Expense,Food & Dining,Groceries
WENDY'S,Expense,Food & Dining,Fast Food
WHOLE FOODS,Expense,Food & Dining,Groceries
WINXDVD.COM,Expense,Subscriptions,Media & Lifestyle
WOODBRIDGE INTERNAL MEDICINE,Expense,Health & Wellness,Medical & Dental
WRITTEN OUT LOUD,Expense,Personal Services,Printing & Shipping
Waitrose,Expense,Food & Dining,Groceries
Waldorf Astoria,Expense,Travel,Hotels & Lodging
Walgreens,Expense,Health & Wellness,Pharmacy
Walmart,Expense,Shopping,General Retail
Wawa,Expense,Transportation,Gas & Fuel
Wayfair,Expense,Shopping,General Retail
Wegmans,Expense,Food & Dining,Groceries
Weis Markets,Expense,Food & Dining,Groceries
Wellcome,Expense,Food & Dining,Groceries
Wendy's,Expense,Food & Dining,Fast Food
Westin,Expense,Travel,Hotels & Lodging
Wetzel's Pretzels,Expense,Food & Dining,Bakery & Desserts
Whataburger,Expense,Food & Dining,Fast Food
Whole Foods,Expense,Food & Dining,Groceries
Windscribe,Expense,Technology,VPN & Privacy
Wingstop,Expense,Food & Dining,Fast Food
Winn Dixie,Expense,Food & Dining,Groceries
Winn-Dixie,Expense,Food & Dining,Groceries
Wish,Expense,Shopping,Online Marketplace
Wolt,Expense,Food & Dining,Food Delivery
Woolworths,Expense,Food & Dining,Groceries
Workday,Expense,Technology,Software & SaaS
XPEL,Expense,Transportation,Car Service & Parts
Xbox Live,Expense,Entertainment,Gaming
YANKEE CANDLE,Expense,Shopping,Home & Garden
YMCA,Expense,Health & Wellness,Fitness & Gym
Yandex,Expense,Technology,Software & SaaS
Yoga Studio,Expense,Health & Wellness,Fitness & Gym
Yogen Früz,Expense,Food & Dining,Ice Cream & Yogurt
Yogurt City,Expense,Food & Dining,Ice Cream & Yogurt
Yogurt Mountain,Expense,Food & Dining,Ice Cream & Yogurt
Yogurt World,Expense,Food & Dining,Ice Cream & Yogurt
Yogurt Zone,Expense,Food & Dining,Ice Cream & Yogurt
Yogurtland,Expense,Food & Dining,Ice Cream & Yogurt
YouTube,Expense,Entertainment,Streaming Video
Yves Saint Laurent,Expense,Shopping,Clothing & Apparel
ZAIKA BBQ,Expense,Food & Dining,Restaurants
ZARA SALON,Expense,Health & Wellness,Beauty & Spa
ZGMYC Fashion Leopard,Expense,Shopping,Clothing & Apparel
ZOLA.COM,Expense,Donations & Gifts,Gifts & Cards
ZOOM,Expense,Technology,Software & SaaS
Zappos,Expense,Shopping,Clothing & Apparel
Zara,Expense,Shopping,Clothing & Apparel
Zaxby's,Expense,Food & Dining,Fast Food
ZenMate,Expense,Technology,VPN & Privacy
Zomato,Expense,Food & Dining,Food Delivery
Zoom,Expense,Technology,Software & SaaS
Zscaler,Expense,Technology,Software & SaaS
Zumba Power Gym,Expense,Health & Wellness,Fitness & Gym
eBay,Expense,Shopping,General Retail
